month,quarter,Target,gnp,gdpdef,gdp
2000-01,2000Q1,12935.252,10035.263,77.325,10002.179
2000-04,2000Q2,13170.749,10283.391,77.807,10247.72
2000-07,2000Q3,13183.89,10348.645,78.263,10318.165
2000-10,2000Q4,13262.25,10490.43,78.688,10435.744
2001-01,2001Q1,13219.251,10510.297,79.204,10470.231
2001-04,2001Q2,13301.394,10647.427,79.683,10599
2001-07,2001Q3,13248.142,10623.039,79.996,10598.02
2001-10,2001Q4,13284.881,10748.408,80.245,10660.465
2002-01,2002Q1,13394.91,10833.143,80.504,10783.5
2002-04,2002Q2,13477.356,10918.384,80.783,10887.46
2002-07,2002Q3,13531.741,11027.515,81.172,10984.04
2002-10,2002Q4,13549.421,11120.565,81.638,11061.433
2003-01,2003Q1,13619.434,11217.689,82.045,11174.129
2003-04,2003Q2,13741.107,11369.131,82.328,11312.766
2003-07,2003Q3,13970.157,11621.172,82.796,11566.669
2003-10,2003Q4,14131.379,11851.792,83.306,11772.234
2004-01,2004Q1,14212.34,12021.455,83.895,11923.447
2004-04,2004Q2,14323.017,12185.61,84.569,12112.815
2004-07,2004Q3,14457.832,12386.919,85.112,12305.307
2004-10,2004Q4,14605.595,12581.653,85.77,12527.214
2005-01,2005Q1,14767.846,12854.364,86.453,12767.286
2005-04,2005Q2,14839.707,12996.998,87.082,12922.656
2005-07,2005Q3,14956.291,13225.668,87.874,13142.642
2005-10,2005Q4,15041.232,13378.959,88.585,13324.204
2006-01,2006Q1,15244.088,13654.952,89.209,13599.16
2006-04,2006Q2,15281.525,13802.877,90,13753.424
2006-07,2006Q3,15304.517,13906.646,90.628,13870.188
2006-10,2006Q4,15433.643,14083.697,90.967,14039.56
2007-01,2007Q1,15478.956,14258.594,91.839,14215.651
2007-04,2007Q2,15577.779,14463.277,92.453,14402.082
2007-07,2007Q3,15671.605,14681.751,92.933,14564.117
2007-10,2007Q4,15767.146,14875.943,93.327,14715.058
2008-01,2008Q1,15702.906,14857.342,93.655,14706.538
2008-04,2008Q2,15792.773,15023.21,94.13,14865.701
2008-07,2008Q3,15709.562,15075.73,94.84,14898.999
2008-10,2008Q4,15366.607,14704.022,95.065,14608.208
2009-01,2009Q1,15187.475,14551.583,95.018,14430.901
2009-04,2009Q2,15161.772,14504.001,94.852,14381.236
2009-07,2009Q3,15216.647,14631.307,94.954,14448.882
2009-10,2009Q4,15379.155,14826.345,95.267,14651.248
2010-01,2010Q1,15456.059,14968.896,95.526,14764.611
2010-04,2010Q2,15605.628,15187.024,95.992,14980.193
2010-07,2010Q3,15726.282,15339.711,96.282,15141.605
2010-10,2010Q4,15807.995,15522.781,96.846,15309.471
2011-01,2011Q1,15769.911,15574.331,97.346,15351.444
2011-04,2011Q2,15876.839,15780.006,97.989,15557.535
2011-07,2011Q3,15870.684,15893.499,98.595,15647.681
2011-10,2011Q4,16048.702,16102.819,98.714,15842.267
2012-01,2012Q1,16179.968,16315.076,99.313,16068.824
2012-04,2012Q2,16253.726,16435.293,99.713,16207.13
2012-07,2012Q3,16282.151,16548.815,100.23,16319.54
2012-10,2012Q4,16300.035,16647.723,100.738,16420.386
2013-01,2013Q1,16441.485,16845.017,101.141,16629.05
2013-04,2013Q2,16464.402,16928.625,101.428,16699.551
2013-07,2013Q3,16594.743,17151.537,101.906,16911.068
2013-10,2013Q4,16712.76,17368.794,102.515,17133.114
2014-01,2014Q1,16654.247,17381.812,102.942,17144.281
2014-04,2014Q2,16868.109,17691.165,103.525,17462.703
2014-07,2014Q3,17064.616,17995.3,103.977,17743.227
2014-10,2014Q4,17141.235,18075.379,104.15,17852.54
2015-01,2015Q1,17280.647,18214.218,104.113,17991.348
2015-04,2015Q2,17380.875,18405.862,104.677,18193.707
2015-07,2015Q3,17437.08,18520.403,104.989,18306.96
2015-10,2015Q4,17462.579,18565.145,104.979,18332.079
2016-01,2016Q1,17565.465,18640.558,104.895,18425.306
2016-04,2016Q2,17618.581,18827.942,105.636,18611.617
2016-07,2016Q3,17724.489,18995.777,105.929,18775.459
2016-10,2016Q4,17812.56,19243.922,106.487,18968.041
2017-01,2017Q1,17896.623,19427.462,107.025,19153.912
2017-04,2017Q2,17996.802,19585.223,107.369,19322.92
2017-07,2017Q3,18126.226,19864.059,107.903,19558.693
2017-10,2017Q4,18296.685,20219.956,108.67,19882.965
2018-01,2018Q1,18436.262,20460.314,109.261,20143.716
2018-04,2018Q2,18590.004,20793.247,110.234,20492.492
2018-07,2018Q3,18679.599,20930.65,110.597,20659.102
2018-10,2018Q4,18721.281,21101.077,111.175,20813.325
2019-01,2019Q1,18833.195,21254.334,111.514,21001.591
2019-04,2019Q2,18982.528,21564.924,112.152,21289.268
2019-07,2019Q3,19112.653,21780.753,112.517,21505.012
2019-10,2019Q4,19202.31,21955.98,112.978,21694.458
2020-01,2020Q1,18951.992,21721.267,113.346,21481.367
2020-04,2020Q2,17258.205,19649.442,112.859,19477.444
2020-07,2020Q3,18560.774,21365.412,113.888,21138.574
2020-10,2020Q4,18767.778,21728.223,114.439,21477.597
2021-01,2021Q1,19055.655,22273.06,115.652,22038.226
